DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Austria,2021,65.36,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Austria,2023,59.01,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Austria,2025,73.76,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Bosnia and Herzegovina,2021,33.72,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Bosnia and Herzegovina,2023,44.47,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Bosnia and Herzegovina,2025,64.08,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Belgium,2021,66.31,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Belgium,2023,75.28,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Belgium,2025,84.90,,
ESTAT:ISOC_E_DII(1.0),27/02/26 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with at least basic level of digital intensity (DII Version 3),Percentage of enterprises,Bulgaria,2021,26.09,,
