DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Albania,2021,,,C
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Albania,2025,5.90,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Austria,2021,9.61,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Austria,2023,12.31,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Austria,2025,32.54,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Bosnia and Herzegovina,2021,1.55,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Bosnia and Herzegovina,2023,2.72,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Bosnia and Herzegovina,2025,8.48,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Belgium,2021,10.42,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Belgium,2023,15.31,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Belgium,2025,39.80,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Bulgaria,2021,2.88,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Bulgaria,2023,2.55,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Bulgaria,2025,5.25,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Cyprus,2021,2.05,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Cyprus,2023,3.81,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Cyprus,2025,4.26,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Czechia,2021,4.19,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Czechia,2023,6.01,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Czechia,2025,16.73,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Germany,2021,9.19,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Germany,2023,9.32,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Germany,2025,24.38,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Denmark,2021,27.28,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Denmark,2023,14.80,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,Denmark,2025,38.55,,
ESTAT:ISOC_EB_AIN2(1.0),15/06/26 11:00:00,Annual,10 persons employed or more,Manufacturing,"Enterprises using at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR, E_AI_TPVSG",Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,7.76,,
