DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using any business software (any of ERP, CRM, BI)",Percentage of enterprises,Germany,2023,22.49,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using any business software (any of ERP, CRM, BI)",Percentage of enterprises,Spain,2023,13.92,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using any business software (any of ERP, CRM, BI)",Percentage of enterprises,Spain,2025,14.80,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using any business software (any of ERP, CRM, BI)",Percentage of enterprises,Portugal,2023,26.43,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using any business software (any of ERP, CRM, BI)",Percentage of enterprises,Sweden,2025,5.77,b,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using any business software (any of ERP, CRM, BI)",Percentage of enterprises where persons employed have access to the internet,Germany,2023,22.90,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using any business software (any of ERP, CRM, BI)",Percentage of enterprises where persons employed have access to the internet,Spain,2023,16.67,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using any business software (any of ERP, CRM, BI)",Percentage of enterprises where persons employed have access to the internet,Spain,2025,18.78,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using any business software (any of ERP, CRM, BI)",Percentage of enterprises where persons employed have access to the internet,Portugal,2023,30.12,,
ESTAT:ISOC_EB_IIP(1.0),27/02/26 11:00:00,Annual,From 0 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises using any business software (any of ERP, CRM, BI)",Percentage of enterprises where persons employed have access to the internet,Sweden,2025,6.41,b,
