DATAFLOW,LAST UPDATE,freq,na_item,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Austria,2021,104.541,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Austria,2023,105.850,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Austria,2025,105.319,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Belgium,2021,102.786,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Belgium,2023,103.059,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Belgium,2025,104.885,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Bulgaria,2021,120.474,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Bulgaria,2023,121.921,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Bulgaria,2025,129.753,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Cyprus,2021,109.223,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Cyprus,2023,113.817,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Cyprus,2025,117.038,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Czechia,2021,112.766,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Czechia,2023,109.185,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Czechia,2025,109.034,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Germany,2021,106.992,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Germany,2023,106.074,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Germany,2025,106.221,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Denmark,2021,108.516,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Denmark,2023,105.340,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Denmark,2025,110.566,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Euro area – 20 countries (2023-2025),2021,104.844,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Euro area – 20 countries (2023-2025),2023,103.460,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Euro area – 20 countries (2023-2025),2025,104.309,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Euro area – 21 countries (from 2026),2021,105.017,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Euro area – 21 countries (from 2026),2023,103.661,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Euro area – 21 countries (from 2026),2025,104.570,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Estonia,2021,130.282,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Estonia,2023,117.361,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Estonia,2025,118.010,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Greece,2021,96.882,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Greece,2023,96.826,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Greece,2025,100.191,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Spain,2021,100.784,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Spain,2023,101.825,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Spain,2025,103.807,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",European Union - 27 countries (from 2020),2021,105.691,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",European Union - 27 countries (from 2020),2023,105.287,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",European Union - 27 countries (from 2020),2025,107.014,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Finland,2021,105.298,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Finland,2023,101.971,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Finland,2025,105.273,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",France,2021,101.306,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",France,2023,100.123,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",France,2025,101.654,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Croatia,2021,113.289,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Croatia,2023,121.755,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Croatia,2025,123.740,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Hungary,2021,115.307,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Hungary,2023,117.911,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Hungary,2025,118.558,p,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Ireland,2021,136.762,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Ireland,2023,129.263,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Ireland,2025,143.548,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Italy,2021,102.361,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Italy,2023,100.704,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Italy,2025,98.758,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Lithuania,2021,125.740,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Lithuania,2023,120.342,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Lithuania,2025,124.169,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Luxembourg,2021,101.615,,
ESTAT:TIPSNA70(1.0),26/06/26 23:00:00,Annual,Real labour productivity per hour worked,"Index, 2015=100",Luxembourg,2023,96.104,,
